oid,description
iso.3.6.1.2.1.11.11,"[<code>snmpInReadOnlys OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number valid SNMP PDUs which were delivered<br/>
to the SNMP protocol entity and for which the value<br/>
of the error-status field was `readOnly'. It should<br/>
be noted that it is a protocol error to generate an<br/>
SNMP PDU which contains the value `readOnly' in the<br/>
error-status field, as such this object is provided<br/>
as a means of detecting incorrect implementations of<br/>
the SNMP.""</code>]"
iso.3.6.1.2.1.11.12,"[<code>snmpInGenErrs OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP PDUs which were delivered<br/>
to the SNMP protocol entity and for which the value<br/>
of the error-status field was `genErr'.""</code>]"
iso.3.6.1.2.1.11.13,"[<code>snmpInTotalReqVars OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of MIB objects which have been<br/>
retrieved successfully by the SNMP protocol entity<br/>
as the result of receiving valid SNMP Get-Request<br/>
and Get-Next PDUs.""</code>]"
iso.3.6.1.2.1.11.14,"[<code>snmpInTotalSetVars OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of MIB objects which have been<br/>
altered successfully by the SNMP protocol entity as<br/>
the result of receiving valid SNMP Set-Request PDUs.""</code>]"
iso.3.6.1.2.1.11.15,"[<code>snmpInGetRequests OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Get-Request PDUs which<br/>
have been accepted and processed by the SNMP<br/>
protocol entity.""</code>]"
iso.3.6.1.2.1.11.16,"[<code>snmpInGetNexts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Get-Next PDUs which have been<br/>
accepted and processed by the SNMP protocol entity.""</code>]"
iso.3.6.1.2.1.11.17,"[<code>snmpInSetRequests OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Set-Request PDUs which<br/>
have been accepted and processed by the SNMP protocol<br/>
entity.""</code>]"
iso.3.6.1.2.1.11.18,"[<code>snmpInGetResponses OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Get-Response PDUs which<br/>
have been accepted and processed by the SNMP protocol<br/>
entity.""</code>]"
iso.3.6.1.2.1.11.19,"[<code>snmpInTraps OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Trap PDUs which have been<br/>
accepted and processed by the SNMP protocol entity.""</code>]"
iso.3.6.1.2.1.11.20,"[<code>snmpOutTooBigs OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP PDUs which were generated<br/>
by the SNMP protocol entity and for which the value<br/>
of the error-status field was `tooBig.'""</code>]"
iso.3.6.1.2.1.11.21,"[<code>snmpOutNoSuchNames OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP PDUs which were generated<br/>
by the SNMP protocol entity and for which the value<br/>
of the error-status was `noSuchName'.""</code>]"
iso.3.6.1.2.1.11.22,"[<code>snmpOutBadValues OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP PDUs which were generated<br/>
by the SNMP protocol entity and for which the value<br/>
of the error-status field was `badValue'.""</code>]"
iso.3.6.1.2.1.11.24,"[<code>snmpOutGenErrs OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP PDUs which were generated<br/>
by the SNMP protocol entity and for which the value<br/>
of the error-status field was `genErr'.""</code>]"
iso.3.6.1.2.1.11.25,"[<code>snmpOutGetRequests OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Get-Request PDUs which<br/>
have been generated by the SNMP protocol entity.""</code>]"
iso.3.6.1.2.1.11.26,"[<code>snmpOutGetNexts OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Get-Next PDUs which have<br/>
been generated by the SNMP protocol entity.""</code>]"
iso.3.6.1.2.1.11.27,"[<code>snmpOutSetRequests OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Set-Request PDUs which<br/>
have been generated by the SNMP protocol entity.""</code>]"
iso.3.6.1.2.1.11.28,"[<code>snmpOutGetResponses OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Get-Response PDUs which<br/>
have been generated by the SNMP protocol entity.""</code>]"
iso.3.6.1.2.1.11.29,"[<code>snmpOutTraps OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS obsolete<br/>
DESCRIPTION<br/>
""The total number of SNMP Trap PDUs which have<br/>
been generated by the SNMP protocol entity.""</code>]"
iso.3.6.1.2.1.11.30,"[<code>snmpEnableAuthenTraps OBJECT-TYPE<br/>
SYNTAX INTEGER { enabled(1), disabled(2) }<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION<br/>
""Indicates whether the SNMP entity is permitted to<br/>
generate authenticationFailure traps. The value of this<br/>
object overrides any configuration information; as such,<br/>
it provides a means whereby all authenticationFailure<br/>
traps may be disabled.<br/>
Note that it is strongly recommended that this object<br/>
be stored in non-volatile memory so that it remains<br/>
constant across re-initializations of the network<br/>
management system.""</code>]"
iso.3.6.1.2.1.11.31,"[<code>snmpSilentDrops OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of Confirmed Class PDUs (such as<br/>
GetRequest-PDUs, GetNextRequest-PDUs,<br/>
GetBulkRequest-PDUs, SetRequest-PDUs, and<br/>
InformRequest-PDUs) delivered to the SNMP entity which<br/>
were silently dropped because the size of a reply<br/>
containing an alternate Response Class PDU (such as a<br/>
Response-PDU) with an empty variable-bindings field<br/>
was greater than either a local constraint or the<br/>
maximum message size associated with the originator of<br/>
the request.""</code>]"
iso.3.6.1.2.1.11.32,"[<code>snmpProxyDrops OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of Confirmed Class PDUs<br/>
(such as GetRequest-PDUs, GetNextRequest-PDUs,<br/>
GetBulkRequest-PDUs, SetRequest-PDUs, and<br/>
InformRequest-PDUs) delivered to the SNMP entity which<br/>
were silently dropped because the transmission of<br/>
the (possibly translated) message to a proxy target<br/>
failed in a manner (other than a time-out) such that<br/>
no Response Class PDU (such as a Response-PDU) could<br/>
be returned.""</code>]"
iso.3.6.1.2.1.17.1.2,"[<code>dot1dBaseNumPorts OBJECT-TYPE<br/>
SYNTAX Integer32<br/>
UNITS ""ports""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of ports controlled by this bridging<br/>
entity.""<br/>
REFERENCE<br/>
""IEEE 802.1D-1998: clause 14.4.1.1.3""</code>]"
iso.3.6.1.2.1.17.1.3,"[<code>dot1dBaseType OBJECT-TYPE<br/>
SYNTAX INTEGER {<br/>
unknown(1),<br/>
transparent-only(2),<br/>
sourceroute-only(3),<br/>
srt(4)<br/>
}<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""Indicates what type of bridging this bridge can<br/>
perform. If a bridge is actually performing a<br/>
certain type of bridging, this will be indicated by<br/>
entries in the port table for the given type.""</code>]"
iso.3.6.1.2.1.17.2.1,"[<code>dot1dStpProtocolSpecification OBJECT-TYPE<br/>
SYNTAX INTEGER {<br/>
unknown(1),<br/>
decLb100(2),<br/>
ieee8021d(3)<br/>
}<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""An indication of what version of the Spanning Tree<br/>
Protocol is being run. The value 'decLb100(2)'<br/>
indicates the DEC LANbridge 100 Spanning Tree protocol.<br/>
IEEE 802.1D implementations will return 'ieee8021d(3)'.<br/>
If future versions of the IEEE Spanning Tree Protocol<br/>
that are incompatible with the current version<br/>
are released a new value will be defined.""</code>]"
iso.3.6.1.2.1.17.4.1,"[<code>dot1dTpLearnedEntryDiscards OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The total number of Forwarding Database entries that<br/>
have been or would have been learned, but have been<br/>
discarded due to a lack of storage space in the<br/>
Forwarding Database. If this counter is increasing, it<br/>
indicates that the Forwarding Database is regularly<br/>
becoming full (a condition that has unpleasant<br/>
performance effects on the subnetwork). If this counter<br/>
has a significant value but is not presently increasing,<br/>
it indicates that the problem has been occurring but is<br/>
not persistent.""<br/>
REFERENCE<br/>
""IEEE 802.1D-1998: clause 14.7.1.1.3""</code>]"
iso.3.6.1.2.1.17.4.2,"[<code>dot1dTpAgingTime OBJECT-TYPE<br/>
SYNTAX Integer32 (10..1000000)<br/>
UNITS ""seconds""<br/>
MAX-ACCESS read-write<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The timeout period in seconds for aging out<br/>
dynamically-learned forwarding information.<br/>
802.1D-1998 recommends a default of 300 seconds.""<br/>
REFERENCE<br/>
""IEEE 802.1D-1998: clause 14.7.1.1.3""</code>]"
iso.3.6.1.2.1.17.4.4.1.1,"[<code>dot1dTpPort OBJECT-TYPE<br/>
SYNTAX Integer32 (1..65535)<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The port number of the port for which this entry<br/>
contains Transparent bridging management information.""</code>]"
iso.3.6.1.2.1.17.4.4.1.2,"[<code>dot1dTpPortMaxInfo OBJECT-TYPE<br/>
SYNTAX Integer32<br/>
UNITS ""bytes""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The maximum size of the INFO (non-MAC) field that<br/>
this port will receive or transmit.""</code>]"
iso.3.6.1.2.1.17.4.4.1.3,"[<code>dot1dTpPortInFrames OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""frames""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of frames that have been received by this port from its segment. Note that a frame received on the interface corresponding to this port is only counted by this object if and only if it is for a protocol being processed by the local bridging function, including bridge management frames.""<br/>
REFERENCE<br/>
""IEEE 802.1D-1998: clause 14.6.1.1.3""</code>]"
iso.3.6.1.2.1.17.4.4.1.4,"[<code>dot1dTpPortOutFrames OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""frames""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of frames that have been transmitted by this port to its segment. Note that a frame transmitted on the interface corresponding to this port is only counted by this object if and only if it is for a protocol being processed by the local bridging function, including bridge management frames.""<br/>
REFERENCE<br/>
""IEEE 802.1D-1998: clause 14.6.1.1.3""</code>]"
iso.3.6.1.2.1.17.4.4.1.5,"[<code>dot1dTpPortInDiscards OBJECT-TYPE<br/>
SYNTAX Counter32<br/>
UNITS ""frames""<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""Count of received valid frames that were discarded<br/>
(i.e., filtered) by the Forwarding Process.""<br/>
REFERENCE<br/>
""IEEE 802.1D-1998: clause 14.6.1.1.3""</code>]"
iso.3.6.1.2.1.4.20.1.1,"[<code>ipAdEntAddr OBJECT-TYPE<br/>
SYNTAX IpAddress<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The IPv4 address to which this entry's addressing<br/>
information pertains.""</code>]"
iso.3.6.1.2.1.4.20.1.2,"[<code>ipAdEntIfIndex OBJECT-TYPE<br/>
SYNTAX INTEGER (1..2147483647)<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The index value which uniquely identifies the interface to<br/>
which this entry is applicable. The interface identified by<br/>
a particular value of this index is the same interface as<br/>
identified by the same value of the IF-MIB's ifIndex.""</code>]"
iso.3.6.1.2.1.4.20.1.3,"[<code>ipAdEntNetMask OBJECT-TYPE<br/>
SYNTAX IpAddress<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The subnet mask associated with the IPv4 address of this<br/>
entry. The value of the mask is an IPv4 address with all<br/>
the network bits set to 1 and all the hosts bits set to 0.""</code>]"
iso.3.6.1.2.1.4.20.1.4,"[<code>ipAdEntBcastAddr OBJECT-TYPE<br/>
SYNTAX INTEGER (0..1)<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The value of the least-significant bit in the IPv4 broadcast<br/>
address used for sending datagrams on the (logical)<br/>
interface associated with the IPv4 address of this entry.<br/>
For example, when the Internet standard all-ones broadcast<br/>
address is used, the value will be 1. This value applies to<br/>
both the subnet and network broadcast addresses used by the<br/>
entity on this (logical) interface.""</code>]"
iso.3.6.1.2.1.4.20.1.5,"[<code>ipAdEntReasmMaxSize OBJECT-TYPE<br/>
SYNTAX INTEGER (0..65535)<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The size of the largest IPv4 datagram which this entity can<br/>
re-assemble from incoming IPv4 fragmented datagrams received<br/>
on this interface.""</code>]"
iso.3.6.1.2.1.4.21.1.1,"[<code>ipRouteDest OBJECT-TYPE<br/>
SYNTAX IpAddress<br/>
ACCESS read-write<br/>
STATUS mandatory<br/>
DESCRIPTION<br/>
""The destination IP address of this route. An entry with a value of 0.0.0.0 is considered a default route. Multiple routes to a single destination can appear in the table, but access to such multiple entries is dependent on the table- access mechanisms defined by the network management protocol in use.""</code>]"
iso.3.6.1.2.1.4.21.1.2,"[<code>ipRouteIfIndex OBJECT-TYPE<br/>
SYNTAX INTEGER<br/>
ACCESS read-write<br/>
STATUS mandatory<br/>
DESCRIPTION<br/>
""The index value which uniquely identifies the local interface through which the next hop of this route should be reached.<br/>
The interface identified by a particular value of this index is the same interface as identified by the same value of ifIndex.""</code>]"
iso.3.6.1.2.1.4.21.1.3,"[<code>ipRouteMetric1 OBJECT-TYPE<br/>
SYNTAX INTEGER<br/>
ACCESS read-write<br/>
STATUS mandatory<br/>
DESCRIPTION<br/>
""Primary routing metric for this route.<br/>
The semantics of this metric are determined by the routing-protocol specified in the route's ipRouteProto value. If this metric is not used, its value should be set to -1.""</code>]"
iso.3.6.1.2.1.4.21.1.4,"[<code>ipRouteMetric2 OBJECT-TYPE<br/>
SYNTAX INTEGER<br/>
ACCESS read-write<br/>
STATUS mandatory<br/>
DESCRIPTION<br/>
""An alternate routing metric for this route. The semantics of this metric are determined by the routing-protocol specified in the route's ipRouteProto value. If this metric is not used, its value should be set to -1.""</code>]"
iso.3.6.1.2.1.4.21.1.5,"[<code>ipRouteMetric3 OBJECT-TYPE<br/>
SYNTAX INTEGER<br/>
ACCESS read-write<br/>
STATUS mandatory<br/>
DESCRIPTION<br/>
""An alternate routing metric for this route.<br/>
The semantics of this metric are determined by the routing-protocol specified in the route's ipRouteProto value. If this metric is not used, its value should be set to -1.""</code>]"
iso.3.6.1.2.1.4.21.1.6,"[<code>ipRouteMetric4 OBJECT-TYPE<br/>
SYNTAX INTEGER<br/>
ACCESS read-write<br/>
STATUS mandatory<br/>
DESCRIPTION<br/>
""An alternate routing metric for this route.<br/>
The semantics of this metric are determined by the routing-protocol specified in the route's ipRouteProto value. If this metric is not used, its value should be set to -1.""</code>]"
iso.3.6.1.2.1.4.21.1.7,"[<code>ipRouteNextHop OBJECT-TYPE<br/>
SYNTAX IpAddress<br/>
ACCESS read-write<br/>
STATUS mandatory<br/>
DESCRIPTION<br/>
""The IP address of the next hop of this route.<br/>
(In the case of a route bound to an interface which is realized via a broadcast media, the value of this field is the agent's IP address on that interface.)""</code>]"
iso.3.6.1.2.1.4.21.1.8,"[<code>ipRouteType OBJECT-TYPE<br/>
SYNTAX INTEGER {<br/>
other(1), -- none of the following<br/>
invalid(2), -- an invalidated route<br/>
direct(3), -- route to directly connected (sub-)network<br/>
indirect(4) -- route to a non-local host/network/sub-network<br/>
}<br/>
ACCESS read-write<br/>
STATUS mandatory<br/>
DESCRIPTION ""The type of route<br/>
Note that the values direct(3) and indirect(4) refer to the notion of direct and indirect routing in the IP architecture.<br/>
Setting this object to the value invalid(2) has the effect of invalidating the corresponding entry in the ipRouteTable object.<br/>
That is, it effectively dissasociates the destination identified with said entry from the route identified with said entry.<br/>
It is an implementation-specific matter as to whether the agent removes an invalidated entry from the table. Accordingly, management stations must be prepared to receive tabular information from agents that corresponds to entries not currently in use. Proper interpretation of such entries requires examination of the relevant ipRouteType object.""</code>]"
iso.3.6.1.2.1.4.21.1.9,"[<code>ipRouteProto OBJECT-TYPE<br/>
SYNTAX INTEGER {<br/>
other(1), -- none of the following non-protocol information, e.g., manually configured<br/>
local(2), -- entries set via a network<br/>
netmgmt(3), -- management protocol obtained via ICMP,<br/>
icmp(4), -- e.g., Redirect the remaining values are all gateway routing protocols<br/>
egp(5),<br/>
ggp(6),<br/>
hello(7),<br/>
rip(8),<br/>
is-is(9),<br/>
es-is(10),<br/>
ciscoIgrp(11),<br/>
bbnSpfIgp(12),<br/>
ospf(13),<br/>
bgp(14)<br/>
}<br/>
ACCESS read-only<br/>
STATUS mandatory<br/>
DESCRIPTION<br/>
""The routing mechanism via which this route was learned<br/>
Inclusion of values for gateway routing protocols is not intended to imply that hosts should support those protocols.""</code>]"
iso.3.6.1.2.1.4.22.1.1,"[<code>ipNetToMediaIfIndex OBJECT-TYPE<br/>
SYNTAX INTEGER (1..2147483647)<br/>
MAX-ACCESS read-create<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The interface on which this entry's equivalence is<br/>
effective. The interface identified by a particular value<br/>
of this index is the same interface as identified by the<br/>
same value of the IF-MIB's ifIndex.<br/>
This object predates the rule limiting index objects to a<br/>
max access value of 'not-accessible' and so continues to use<br/>
a value of 'read-create'.""</code>]"
iso.3.6.1.2.1.4.22.1.2,"[<code>ipNetToMediaPhysAddress OBJECT-TYPE<br/>
SYNTAX PhysAddress (SIZE(0..65535))<br/>
MAX-ACCESS read-create<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The media-dependent `physical' address. This object should<br/>
return 0 when this entry is in the 'incomplete' state.<br/>
As the entries in this table are typically not persistent<br/>
when this object is written the entity should not save the<br/>
change to non-volatile storage. Note: a stronger<br/>
requirement is not used because this object was previously<br/>
defined.""</code>]"
iso.3.6.1.2.1.4.22.1.3,"[<code>ipNetToMediaNetAddress OBJECT-TYPE<br/>
SYNTAX IpAddress<br/>
MAX-ACCESS read-create<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The IpAddress corresponding to the media-dependent<br/>
`physical' address.<br/>
This object predates the rule limiting index objects to a<br/>
max access value of 'not-accessible' and so continues to use<br/>
a value of 'read-create'.""</code>]"
iso.3.6.1.2.1.4.22.1.4,"[<code>ipNetToMediaType OBJECT-TYPE<br/>
SYNTAX INTEGER {<br/>
other(1), -- none of the following<br/>
invalid(2), -- an invalidated mapping<br/>
dynamic(3),<br/>
static(4)<br/>
}<br/>
MAX-ACCESS read-create<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The type of mapping.<br/>
Setting this object to the value invalid(2) has the effect<br/>
of invalidating the corresponding entry in the<br/>
ipNetToMediaTable. That is, it effectively dis-associates<br/>
the interface identified with said entry from the mapping<br/>
identified with said entry. It is an implementation-<br/>
specific matter as to whether the agent removes an<br/>
invalidated entry from the table. Accordingly, management<br/>
stations must be prepared to receive tabular information<br/>
from agents that corresponds to entries not currently in<br/>
use. Proper interpretation of such entries requires<br/>
examination of the relevant ipNetToMediaType object.<br/>
As the entries in this table are typically not persistent<br/>
when this object is written the entity should not save the<br/>
change to non-volatile storage. Note: a stronger<br/>
requirement is not used because this object was previously<br/>
defined.""</code>]"
iso.3.6.1.2.1.4.24.3,"[<code>ipCidrRouteNumber OBJECT-TYPE<br/>
SYNTAX Gauge32<br/>
MAX-ACCESS read-only<br/>
STATUS deprecated<br/>
DESCRIPTION<br/>
""The number of current ipCidrRouteTable entries that are<br/>
not invalid. This object is deprecated in favor of<br/>
inetCidrRouteNumber and the inetCidrRouteTable.""</code>]"
iso.3.6.1.2.1.4.24.6,"[<code>inetCidrRouteNumber OBJECT-TYPE<br/>
SYNTAX Gauge32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of current inetCidrRouteTable entries that<br/>
are not invalid.""</code>]"
iso.3.6.1.2.1.4.24.7.1.7,"[<code>inetCidrRouteIfIndex OBJECT-TYPE<br/>
SYNTAX InterfaceIndexOrZero<br/>
MAX-ACCESS read-create<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The ifIndex value that identifies the local interface<br/>
through which the next hop of this route should be<br/>
reached. A value of 0 is valid and represents the<br/>
scenario where no interface is specified.""</code>]"
iso.3.6.1.2.1.4.24.7.1.8,"[<code>inetCidrRouteType OBJECT-TYPE<br/>
SYNTAX INTEGER {<br/>
other (1), -- not specified by this MIB<br/>
reject (2), -- route that discards traffic and<br/>
-- returns ICMP notification<br/>
local (3), -- local interface<br/>
remote (4), -- remote destination<br/>
blackhole(5) -- route that discards traffic<br/>
-- silently<br/>
}<br/>
MAX-ACCESS read-create<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The type of route. Note that local(3) refers to a<br/>
route for which the next hop is the final destination;<br/>
remote(4) refers to a route for which the next hop is<br/>
not the final destination.<br/>
Routes that do not result in traffic forwarding or<br/>
rejection should not be displayed, even if the<br/>
implementation keeps them stored internally.<br/>
reject(2) refers to a route that, if matched, discards<br/>
the message as unreachable and returns a notification<br/>
(e.g., ICMP error) to the message sender. This is used<br/>
in some protocols as a means of correctly aggregating<br/>
routes.<br/>
blackhole(5) refers to a route that, if matched,<br/>
discards the message silently.""</code>]"
iso.3.6.1.2.1.4.24.7.1.9,"[<code>inetCidrRouteProto OBJECT-TYPE<br/>
SYNTAX IANAipRouteProtocol<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The routing mechanism via which this route was learned.<br/>
Inclusion of values for gateway routing protocols is<br/>
not intended to imply that hosts should support those<br/>
protocols.""</code>]"
iso.3.6.1.2.1.4.24.7.1.10,"[<code>inetCidrRouteAge OBJECT-TYPE<br/>
SYNTAX Gauge32<br/>
MAX-ACCESS read-only<br/>
STATUS current<br/>
DESCRIPTION<br/>
""The number of seconds since this route was last updated<br/>
or otherwise determined to be correct. Note that no<br/>
semantics of 'too old' can be implied, except through<br/>
knowledge of the routing protocol by which the route<br/>
was learned.""</code>]"
